"rank","timestamp"
"1345","2019-08-27 12:39:58"
"1344","2019-08-27 12:48:25"
"1343","2019-08-27 12:52:52"
"1342","2019-08-27 13:04:19"
"1341","2019-08-27 13:09:46"
"1340","2019-08-27 13:15:13"
"1339","2019-08-27 13:20:40"
"1338","2019-08-27 13:26:07"
"1337","2019-08-27 13:31:34"
"1336","2019-08-27 13:37:01"
"1335","2019-08-27 13:42:28"
"1334","2019-08-27 13:47:55"
"1333","2019-08-27 13:53:22"
"1332","2019-08-27 13:58:49"
"1331","2019-08-27 14:04:16"
"1330","2019-08-27 14:09:43"
"1329","2019-08-27 14:15:10"
"1328","2019-08-27 14:20:37"
"1327","2019-08-27 14:26:04"
"1326","2019-08-27 14:31:31"
"1325","2019-08-27 14:36:58"
"1324","2019-08-27 14:42:25"
"1323","2019-08-27 14:47:52"
"1322","2019-08-27 14:53:19"
"1321","2019-08-27 14:58:46"
"1320","2019-08-27 15:04:13"
"1319","2019-08-27 15:09:40"
"1318","2019-08-27 15:16:06"
"1317","2019-08-27 15:22:32"
"1316","2019-08-27 15:28:58"
"1315","2019-08-27 15:35:24"
"1314","2019-08-27 15:41:50"
"1313","2019-08-27 15:48:16"
"1312","2019-08-27 15:54:42"
"1311","2019-08-27 16:01:08"
"1310","2019-08-27 16:07:34"
"1309","2019-08-27 16:14:00"
"1308","2019-08-27 16:20:26"
"1307","2019-08-27 16:26:52"
"1306","2019-08-27 16:33:18"
"1305","2019-08-27 16:39:44"
"1304","2019-08-27 16:46:10"
"1303","2019-08-27 16:52:36"
"1302","2019-08-27 16:59:02"
"1301","2019-08-27 17:05:28"
"1300","2019-08-27 17:11:54"
"1299","2019-08-27 17:18:20"
"1298","2019-08-27 17:24:46"
"1297","2019-08-27 17:31:12"
"1296","2019-08-27 17:37:38"
"1295","2019-08-27 17:44:04"
"1294","2019-08-27 17:50:30"
"1293","2019-08-27 17:56:56"
"1292","2019-08-27 18:03:22"
"1291","2019-08-28 08:10:00"
"1290","2019-08-28 08:18:34"
"1289","2019-08-28 08:27:08"
"1288","2019-08-28 08:35:42"
"1287","2019-08-28 08:44:16"
"1286","2019-08-28 08:52:50"
"1285","2019-08-28 09:01:24"
"1284","2019-08-28 09:09:58"
"1283","2019-08-28 09:15:02"
"1282","2019-08-28 09:20:06"
"1281","2019-08-28 09:25:10"
"1280","2019-08-28 09:30:14"
"1279","2019-08-28 09:35:18"
"1278","2019-08-28 09:40:22"
"1277","2019-08-28 09:45:26"
"1276","2019-08-28 09:50:30"
"1275","2019-08-28 09:55:34"
"1274","2019-08-28 10:00:38"
"1273","2019-08-28 10:05:42"
"1272","2019-08-28 10:10:46"
"1271","2019-08-28 10:15:50"
"1270","2019-08-28 10:20:54"
"1269","2019-08-28 10:25:58"
"1268","2019-08-28 10:31:02"
"1267","2019-08-28 10:36:06"
"1266","2019-08-28 10:41:10"
"1265","2019-08-28 10:46:14"
"1264","2019-08-28 10:48:18"
"1263","2019-08-28 10:52:22"
"1262","2019-08-28 10:54:26"
"1260","2019-08-28 11:02:34"
"1259","2019-08-28 11:06:38"
"1258","2019-08-28 11:12:42"
"1257","2019-08-28 11:18:46"
"1256","2019-08-28 11:31:50"
"1255","2019-08-28 11:36:54"
"1254","2019-08-28 11:41:58"
"1253","2019-08-28 11:47:02"
"1252","2019-08-28 11:52:06"
"1251","2019-08-28 11:57:10"
"1261","2019-08-28 11:58:30"
"1250","2019-08-28 12:02:14"
"1249","2019-08-28 12:07:18"
"1248","2019-08-28 12:12:22"
"1247","2019-08-28 12:17:26"
"1246","2019-08-28 12:22:30"
"1245","2019-08-28 12:27:34"
"1244","2019-08-28 12:32:38"
"1243","2019-08-28 12:37:42"
"1242","2019-08-28 12:42:46"
"1241","2019-08-28 12:47:50"
"1240","2019-08-28 12:52:54"
"1239","2019-08-28 12:57:58"
"1238","2019-08-28 13:03:02"
"1237","2019-08-28 13:08:06"
"1236","2019-08-28 13:13:10"
"1235","2019-08-28 13:18:14"
"1234","2019-08-28 13:23:18"
"1233","2019-08-28 13:28:22"
"1232","2019-08-28 13:33:26"
"1231","2019-08-28 13:38:30"
"1230","2019-08-28 13:43:34"
"1229","2019-08-28 13:48:38"
"1228","2019-08-28 13:53:42"
"1227","2019-08-28 13:58:46"
"1226","2019-08-28 14:03:50"
"1225","2019-08-28 14:08:54"
"1224","2019-08-28 14:13:58"
"1223","2019-08-28 14:19:02"
"1222","2019-08-28 14:24:06"
"1221","2019-08-28 14:29:10"
"1220","2019-08-28 14:34:14"
"1219","2019-08-28 14:39:18"
"1218","2019-08-28 14:44:22"
"1217","2019-08-28 14:49:26"
"1216","2019-08-28 14:54:30"
"1215","2019-08-28 14:59:34"
"1214","2019-08-28 15:04:38"
"1213","2019-08-28 15:09:42"
"1212","2019-08-28 15:16:08"
"1211","2019-08-28 15:22:34"
"1210","2019-08-28 15:29:00"
"1209","2019-08-28 15:35:26"
"1208","2019-08-28 15:41:52"
"1207","2019-08-28 15:48:18"
"1206","2019-08-28 16:13:44"
"1205","2019-08-28 16:20:10"
"1204","2019-08-28 16:26:36"
"1203","2019-08-28 16:33:02"
"1202","2019-08-28 16:39:28"
"1201","2019-08-28 16:45:54"
"1200","2019-08-28 16:52:20"
"1199","2019-08-28 16:58:46"
"1198","2019-08-28 17:05:12"
"1197","2019-08-28 17:11:38"
"1196","2019-08-28 17:18:04"
"1195","2019-08-28 17:24:30"
"1194","2019-08-28 17:30:56"
"1193","2019-08-28 17:37:22"
"1192","2019-08-28 17:43:48"
"1191","2019-08-28 17:50:14"
"1190","2019-08-28 17:56:40"
"1189","2019-08-28 18:03:06"
"1188","2019-08-28 18:09:32"
"1187","2019-08-28 18:15:58"
"1186","2019-08-28 18:22:24"
"1185","2019-08-28 18:28:50"
"1184","2019-08-29 08:10:00"
"1183","2019-08-29 08:15:00"
"1182","2019-08-29 08:20:00"
"1181","2019-08-29 08:33:00"
"1180","2019-08-29 08:50:00"
"1179","2019-08-29 09:00:00"
"1178","2019-08-29 09:10:00"
"1177","2019-08-29 09:20:00"
"1176","2019-08-29 09:25:13"
"1175","2019-08-29 09:30:26"
"1174","2019-08-29 09:35:39"
"1173","2019-08-29 09:40:52"
"1172","2019-08-29 09:46:05"
"1171","2019-08-29 09:51:18"
"1170","2019-08-29 09:56:31"
"1169","2019-08-29 10:01:44"
"1168","2019-08-29 10:06:57"
"1167","2019-08-29 10:12:10"
"1166","2019-08-29 10:17:23"
"1165","2019-08-29 10:22:36"
"1164","2019-08-29 10:27:49"
"1163","2019-08-29 10:33:02"
"1162","2019-08-29 10:38:15"
"1161","2019-08-29 10:43:28"
"1160","2019-08-29 10:48:41"
"1159","2019-08-29 10:53:54"
"1158","2019-08-29 10:59:07"
"1157","2019-08-29 11:04:20"
"1156","2019-08-29 11:09:33"
"1155","2019-08-29 11:14:46"
"1154","2019-08-29 11:19:59"
"1153","2019-08-29 11:25:12"
"1152","2019-08-29 11:30:25"
"1151","2019-08-29 11:35:38"
"1150","2019-08-29 11:40:51"
"1149","2019-08-29 11:46:04"
"1148","2019-08-29 11:51:17"
"1147","2019-08-29 11:56:30"
"1146","2019-08-29 12:01:43"
"1145","2019-08-29 12:06:56"
"1144","2019-08-29 12:12:09"
"1143","2019-08-29 12:17:22"
"1142","2019-08-29 12:22:35"
"1141","2019-08-29 12:27:48"
"1140","2019-08-29 12:33:01"
"1139","2019-08-29 12:38:14"
"1138","2019-08-29 12:43:27"
"1137","2019-08-29 12:48:40"
"1136","2019-08-29 12:53:53"
"1135","2019-08-29 12:59:06"
"1134","2019-08-29 13:04:19"
"1133","2019-08-29 13:09:32"
"1132","2019-08-29 13:14:45"
"1131","2019-08-29 13:19:58"
"1130","2019-08-29 13:25:11"
"1129","2019-08-29 13:30:24"
"1128","2019-08-29 13:35:37"
"1127","2019-08-29 13:40:50"
"1126","2019-08-29 13:46:03"
"1125","2019-08-29 13:51:16"
"1124","2019-08-29 13:56:29"
"1123","2019-08-29 14:01:42"
"1122","2019-08-29 14:06:55"
"1121","2019-08-29 14:12:08"
"1120","2019-08-29 14:17:21"
"1119","2019-08-29 14:22:34"
"1118","2019-08-29 14:27:47"
"1117","2019-08-29 14:33:00"
"1116","2019-08-29 14:38:13"
"1115","2019-08-29 14:43:26"
"1114","2019-08-29 14:48:39"
"1113","2019-08-29 14:53:52"
"1112","2019-08-29 14:59:05"
"1111","2019-08-29 15:04:18"
"1110","2019-08-29 15:09:31"
"1109","2019-08-29 15:14:44"
"1108","2019-08-29 15:22:57"
"1107","2019-08-29 15:26:09"
"1106","2019-08-29 15:32:21"
"1105","2019-08-29 15:38:33"
"1104","2019-08-29 15:44:45"
"1103","2019-08-29 15:50:57"
"1102","2019-08-29 15:57:09"
"1101","2019-08-29 16:03:21"
"1100","2019-08-29 16:09:33"
"1099","2019-08-29 16:15:45"
"1098","2019-08-29 16:21:57"
"1097","2019-08-29 16:28:09"
"1096","2019-08-29 16:34:21"
"1095","2019-08-29 16:40:33"
"1094","2019-08-29 16:46:45"
"1093","2019-08-29 16:52:57"
"1092","2019-08-29 16:59:09"
"1091","2019-08-29 17:05:21"
"1090","2019-08-29 17:11:33"
"1089","2019-08-29 17:17:45"
"1088","2019-08-29 17:23:57"
"1087","2019-08-29 17:30:09"
"1086","2019-08-29 17:36:21"
"1085","2019-08-29 17:42:33"
"1084","2019-08-29 17:48:45"
"1083","2019-08-29 17:54:57"
"1082","2019-08-29 18:01:09"
"1081","2019-08-29 18:07:21"
"1080","2019-08-29 18:13:33"
"1079","2019-08-30 08:10:00"
