"rank","title","album","artist","albumYear","rankOneYearAgo","timestamp","albumArt"
"35","Gimme Shelter","","Rolling Stones","","","2022-10-24 12:58:30","https://images.mediaworks.nz/radio/song/images/gimme_shelter_400_rolling_stones.jpg?width=400&height=400&crop=auto"
"36","Bliss","","Th' Dudes","","","2022-10-24 12:51:40","https://images.mediaworks.nz/radio/song/images/bliss_400_th_dudes.jpg?width=400&height=400&crop=auto"
"37","Born To Run","","Bruce Springsteen","","","2022-10-24 12:44:50","https://images.mediaworks.nz/radio/song/images/born_to_run_400_bruce_springsteen.jpg?width=400&height=400&crop=auto"
"38","More Than A Feeling","","Boston","","","2022-10-24 12:38:00","https://images.mediaworks.nz/radio/song/images/more_than_a_feeling_400_boston.jpg?width=400&height=400&crop=auto"
"39","In The Air Tonight","","Phil Collins","","","2022-10-24 12:31:10","https://images.mediaworks.nz/radio/song/images/in_the_air_tonight_400_phil_collins.jpg?width=400&height=400&crop=auto"
"40","Bat Out of Hell","","Meat Loaf","","","2022-10-24 12:24:20","https://images.mediaworks.nz/radio/song/images/bat_out_of_hell_400_meat_loaf.jpg?width=400&height=400&crop=auto"
"41","Hey You","","Pink Floyd","","","2022-10-24 12:17:30","https://images.mediaworks.nz/radio/song/images/hey_you_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"42","Whole Lotta Love","","Led Zeppelin","","","2022-10-24 12:10:40","https://images.mediaworks.nz/radio/song/images/whole_lotta_love_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"43","Tiny Dancer","","Elton John","","","2022-10-24 12:03:50","https://images.mediaworks.nz/radio/song/images/tiny_dancer_400_elton_john.jpg?width=400&height=400&crop=auto"
"44","Run Like Hell","","Pink Floyd","","","2022-10-24 11:56:00","https://images.mediaworks.nz/radio/song/images/run_like_hell_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"45","Pour Some Sugar On Me","","Def Leppard","","","2022-10-24 11:50:10","https://images.mediaworks.nz/radio/song/images/pour_some_sugar_on_me_400_def_leppard.jpg?width=400&height=400&crop=auto"
"46","Imagine","","John Lennon","","","2022-10-24 11:44:20","https://images.mediaworks.nz/radio/song/images/imagine_400_john_lennon.jpg?width=400&height=400&crop=auto"
"47","Alive","","Pearl Jam","","","2022-10-24 11:38:30","https://images.mediaworks.nz/radio/song/images/alive_400_pearl_jam.jpg?width=400&height=400&crop=auto"
"48","Paradise By The Dashboard Light","","Meat Loaf","","","2022-10-24 11:32:40","https://images.mediaworks.nz/radio/song/images/paradise_by_the_dashboard_light_400_meat_loaf.jpg?width=400&height=400&crop=auto"
"49","While My Guitar Gently Weeps","","Beatles","","","2022-10-24 11:26:50","https://images.mediaworks.nz/radio/song/images/while_my_guitar_gently_weeps_400_beatles.jpg?width=400&height=400&crop=auto"
"50","Highway To Hell","","AC/DC","","","2022-10-24 11:21:00","https://images.mediaworks.nz/radio/song/images/highway_to_hell_400_ac_dc.jpg?width=400&height=400&crop=auto"
"51","Flame Trees","","Cold Chisel","","","2022-10-24 11:15:10","https://images.mediaworks.nz/radio/song/images/flame_trees_400_cold_chisel.jpg?width=400&height=400&crop=auto"
"52","Welcome To The Jungle","","Guns N' Roses","","","2022-10-24 11:09:20","https://images.mediaworks.nz/radio/song/images/welcome_to_the_jungle_400_guns_n_roses.jpg?width=400&height=400&crop=auto"
"53","Brain Damage / Eclipse","","Pink Floyd","","","2022-10-24 11:03:30","https://images.mediaworks.nz/radio/song/images/brain_damage_eclipse_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"54","Don't Stop Me Now","","Queen","","","2022-10-24 10:55:40","https://images.mediaworks.nz/radio/song/images/don_t_stop_me_now_400_queen.jpg?width=400&height=400&crop=auto"
"55","Layla","","Derek & The Dominos","","","2022-10-24 10:49:50","https://images.mediaworks.nz/radio/song/images/layla_400_derek_the_dominos.jpg?width=400&height=400&crop=auto"
"56","Us And Them","","Pink Floyd","","","2022-10-24 10:44:00","https://images.mediaworks.nz/radio/song/images/us_and_them_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"57","Refugee","","Tom Petty & The Heartbreakers","","","2022-10-24 10:38:10","https://images.mediaworks.nz/radio/song/images/refugee_400_tom_petty_the_heartbreakers.jpg?width=400&height=400&crop=auto"
"58","Tusk","","Fleetwood Mac","","","2022-10-24 10:32:20","https://images.mediaworks.nz/radio/song/images/tusk_400_fleetwood_mac.jpg?width=400&height=400&crop=auto"
"59","Rock And Roll","","Led Zeppelin","","","2022-10-24 10:26:30","https://images.mediaworks.nz/radio/song/images/rock_and_roll_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"60","Africa","","Toto","","","2022-10-24 10:20:40","https://images.mediaworks.nz/radio/song/images/africa_400_toto.jpg?width=400&height=400&crop=auto"
"61","Piano Man","","Billy Joel","","","2022-10-24 10:14:50","https://images.mediaworks.nz/radio/song/images/piano_man_400_billy_joel.jpg?width=400&height=400&crop=auto"
"62","When The Levee Breaks","","Led Zeppelin","","","2022-10-24 10:09:00","https://images.mediaworks.nz/radio/song/images/when_the_levee_breaks_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"63","Paint It Black","","Rolling Stones","","","2022-10-24 10:03:10","https://images.mediaworks.nz/radio/song/images/paint_it_black_400_rolling_stones.jpg?width=400&height=400&crop=auto"
