name,name,length,played_time
Greta Van Fleet,You're The One,263,2021-09-02 14:08:19+12
Kyuss,Demon Cleaner,305,2021-09-02 14:13:32+12
Queen,The Invisible Man,238,2021-09-02 14:18:34+12
Kongos,Come With Me Now,210,2021-09-02 14:22:26+12
Kings Of Leon,Molly's Chambers,134,2021-09-02 14:26:58+12
Curlys Jewels,Absentee,226,2021-09-02 14:29:31+12
Bruce Springsteen,Cover Me,200,2021-09-02 14:33:18+12
Halestorm,Love Bites (So Do I),186,2021-09-02 14:36:41+12
Shihad,Sleepeater,240,2021-09-02 14:45:04+12
Th' Dudes,Walking In Light,222,2021-09-02 14:49:02+12
Villainy,Give Up The Ghost,246,2021-09-02 14:53:22+12
Radiohead,Just,231,2021-09-02 15:05:16+12
Queen,Crazy Little Thing Called Love,162,2021-09-02 15:09:13+12
Buckcherry,Lit Up,213,2021-09-02 15:13:23+12
Green Day,Working Class Hero,239,2021-09-02 15:17:13+12
Fur Patrol,Lydia,251,2021-09-02 15:21:37+12
Talking Heads,The Lady Don't Mind,238,2021-09-02 15:25:55+12
AC/DC,Have A Drink On Me,238,2021-09-02 15:32:05+12
Rolling Stones,Living In A Ghost Town,228,2021-09-02 15:36:16+12
Greta Van Fleet,When The Curtain Falls,218,2021-09-02 15:45:57+12
Villainy,Ammunition,212,2021-09-02 15:50:03+12
Eagles,Take It To The Limit,287,2021-09-02 15:53:44+12
Foo Fighters,Stacked Actors,254,2021-09-02 16:07:19+12
The Strokes,You Only Live Once,183,2021-09-02 16:11:48+12
Silverchair,Pure Massacre,269,2021-09-02 16:16:13+12
Black Rebel Motorcycle Club,Beat The Devils Tattoo,222,2021-09-02 16:20:47+12
R.E.M,Orange Crush,228,2021-09-02 16:24:34+12
Foo Fighters,Baker Street,323,2021-09-02 16:31:53+12
Led Zeppelin,Going To California,211,2021-09-02 16:37:20+12
Hunters & Collectors,Throw Your Arms Around Me,233,2021-09-02 16:40:54+12
Iggy and The Stooges,Wanna Be Your Dog,186,2021-09-02 16:50:02+12
David Bowie,China Girl,253,2021-09-02 16:53:13+12
Devilskin,Bright Lights,252,2021-09-02 17:07:25+12
Butthole Surfers,Pepper,243,2021-09-02 17:11:46+12
Pearl Jam,Rats,242,2021-09-02 17:15:55+12
Live,Selling The Drama,204,2021-09-02 17:20:09+12
Mother Love Bone,Crown of Thorns,374,2021-09-02 17:25:11+12
Marilyn Manson,Tourniquet,256,2021-09-02 17:31:22+12
I Am Giant,Let It Go,282,2021-09-02 17:35:53+12
Queens Of The Stone Age,The Sky Is Falling,331,2021-09-02 17:46:13+12
The Cult,Fire Woman,308,2021-09-02 17:51:57+12
David Bowie,Golden Years,206,2021-09-02 18:07:01+12
Prophets Of Rage,Living On The 110,225,2021-09-02 18:10:29+12
Garbage,Only Happy When It Rains,229,2021-09-02 18:14:19+12
Kinks,Lola,261,2021-09-02 18:19:56+12
Pearl Jam,Corduroy,262,2021-09-02 18:23:58+12
Soundgarden,My Wave,310,2021-09-02 18:28:53+12
Goo Goo Dolls,Name,242,2021-09-02 18:35:11+12
Devilskin,Animal,217,2021-09-02 18:39:20+12
Collective Soul,Heavy,174,2021-09-02 18:49:24+12
The Datsuns,Eye of the Needle,350,2021-09-02 18:52:28+12
Seether,Words As Weapons,238,2021-09-03 08:05:38+12
America,A Horse With No Name,246,2021-09-03 08:09:52+12
Def Leppard,Promises,241,2021-09-03 08:15:09+12
Beastie Boys,Fight For Your Right To Party,204,2021-09-03 08:25:23+12
The Feelers,Anniversary,208,2021-09-03 08:30:30+12
Bryan Adams,Run To You,225,2021-09-03 08:33:56+12
Foo Fighters,Generator,226,2021-09-03 08:42:37+12
Live,Run To The Water,266,2021-09-03 08:46:23+12
Collective Soul,Precious Declaration,220,2021-09-03 08:50:45+12
Def Leppard,Armageddon It,318,2021-09-03 09:01:09+12
The Cars,Just What I Needed,222,2021-09-03 09:06:10+12
Capital Theatre,People,218,2021-09-03 09:09:58+12
The Darkness,I Believe In A Thing Called Love,216,2021-09-03 09:14:10+12
Marcy Playground,Sex And Candy,169,2021-09-03 09:19:17+12
Kings Of Leon,The Bucket,175,2021-09-03 09:22:14+12
AC/DC,Hell Ain't A Bad Place To Be,252,2021-09-03 09:25:16+12
Alannah Myles,Black Velvet,281,2021-09-03 09:31:40+12
Sick Puppies,You're Going Down,184,2021-09-03 09:36:23+12
Police,Message In A Bottle,285,2021-09-03 09:45:08+12
DD Smash,Whaling,220,2021-09-03 09:49:49+12
Gojira,Another World,257,2021-09-03 09:59:01+12
Slash,By The Sword,254,2021-09-03 10:03:16+12
Twisted Sister,We're Not Gonna Take It,211,2021-09-03 10:08:02+12
Collective Soul,The World I Know,228,2021-09-03 10:11:33+12
The Black Keys,Everlasting Light,203,2021-09-03 10:16:15+12
David Bowie,Young Americans,304,2021-09-03 10:19:40+12
Metallica,The Call Of Ktulu,526,2021-09-03 10:24:45+12
U2,With Or Without You,291,2021-09-03 10:34:37+12
Chevelle,Vitamin R (Leading Us Along),219,2021-09-03 10:44:17+12
Meatloaf,Two Out Of Three Ain't Bad,326,2021-09-03 10:47:54+12
Green Day,Welcome To Paradise,223,2021-09-03 10:58:59+12
Alice In Chains,Hollow,280,2021-09-03 11:02:48+12
Daddy Cool,Eagle Rock,246,2021-09-03 11:07:41+12
Slash,Back From Cali (Vocal Myles Kennedy),212,2021-09-03 11:11:52+12
Villainy,Mode. Set. Clear.,318,2021-09-03 11:15:26+12
Queens Of The Stone Age,The Evil Has Landed,259,2021-09-03 11:21:27+12
Nirvana,Pennyroyal Tea,214,2021-09-03 11:25:54+12
Silverchair,Freak,223,2021-09-03 11:29:31+12
Shihad,Bitter,249,2021-09-03 11:34:10+12
Don McLean,American Pie,516,2021-09-03 11:38:51+12
Fun Lovin' Criminals,Scooby Snacks,182,2021-09-03 11:52:07+12
