name,name,length,played_time
Nirvana,You Know You're Right,199,2021-08-30 17:19:35+12
Metallica,The Shortest Straw,392,2021-08-30 17:23:05+12
Loverboy,Turn Me Loose,335,2021-08-30 17:31:43+12
Janes Addiction,Mountain Song,241,2021-08-30 17:37:32+12
Shihad,Dark Times,240,2021-08-30 17:47:57+12
John Farnham,You're The Voice,291,2021-08-30 17:51:58+12
Headless Chickens,Cruise Control,270,2021-08-30 18:05:47+12
Foreigner,Cold As Ice,200,2021-08-30 18:10:23+12
Split Enz,History Never Repeats,174,2021-08-30 18:13:44+12
Green Day,Still Breathing,223,2021-08-30 18:18:20+12
The Muttonbirds,Nature,219,2021-08-30 18:22:13+12
Highly Suspect,Postres,149,2021-08-30 18:25:55+12
Rolling Stones,It's Only Rock n' Roll ...,304,2021-08-30 18:29:35+12
The Datsuns,Stuck Here For Days,176,2021-08-30 18:34:46+12
Chris Knox,Not Given Lightly,305,2021-08-30 18:43:40+12
Placebo,For What It's Worth,167,2021-08-30 18:48:46+12
Crowded House,Something So Strong,168,2021-08-30 18:51:44+12
Weta,Snapshot [Remastered],275,2021-08-31 08:04:46+12
U2,Pride (In The Name Of Love),224,2021-08-31 08:09:46+12
Linkin Park,Guilty All The Same,232,2021-08-31 08:15:34+12
ZZ Top,Sleeping Bag,247,2021-08-31 08:23:54+12
Megadeth,In My Darkest Hour,384,2021-08-31 08:28:03+12
Manchester Orchestra,I've Got Friends,297,2021-08-31 08:35:55+12
Simple Minds,Alive And Kicking,320,2021-08-31 08:46:57+12
Metallica,Motorbreath,187,2021-08-31 08:51:31+12
Janes Addiction,Been Caught Stealing,201,2021-08-31 08:55:11+12
Alice In Chains,Over Now,381,2021-08-31 09:06:26+12
The D4,Sake Bomb,102,2021-08-31 09:12:54+12
Australian Crawl,Downhearted,184,2021-08-31 09:14:46+12
Foo Fighters,End Over End,333,2021-08-31 09:20:29+12
Police,So Lonely,285,2021-08-31 09:26:10+12
Guns N' Roses,Out Ta Get Me,254,2021-08-31 09:31:20+12
Cars,Drive,246,2021-08-31 09:38:07+12
Audioslave,Out Of Exile,195,2021-08-31 09:42:19+12
Stevie Ray Vaughan And Double Trouble,The Sky Is Crying,276,2021-08-31 09:50:32+12
Ben Harper,Steal My Kisses,200,2021-08-31 09:55:16+12
Van Halen,Can't Stop Lovin' You,247,2021-08-31 10:04:28+12
Foo Fighters,I'll Stick Around,231,2021-08-31 10:08:37+12
Queen,One Vision,241,2021-08-31 10:12:58+12
Temple Of The Dog,Call Me A Dog,300,2021-08-31 10:18:01+12
Kings Of Leon,Red Morning Light,178,2021-08-31 10:23:03+12
U2,Bullet The Blue Sky,271,2021-08-31 10:26:31+12
Alice In Chains,Your Decision,238,2021-08-31 10:32:12+12
Led Zeppelin,The Song Remains The Same,327,2021-08-31 10:36:12+12
Airbourne,Runnin' Wild,216,2021-08-31 10:41:43+12
Mi-Sex,Computer Games,240,2021-08-31 10:49:58+12
The Living End,White Noise,221,2021-08-31 10:53:59+12
Pink Floyd,In The Flesh,183,2021-08-31 11:02:57+12
Kings Of Leon,Around The World,213,2021-08-31 11:06:02+12
U2,Even Better Than The Real Thing,221,2021-08-31 11:09:43+12
Ozzy Osbourne,Let Me Hear You Scream,203,2021-08-31 11:13:59+12
Bruce Springsteen,Hungry Heart,190,2021-08-31 11:17:54+12
Everclear,Heroin Girl,141,2021-08-31 11:21:03+12
Tom Petty & The Heartbreakers,Don't Do Me Like That,159,2021-08-31 11:23:59+12
Green Day,East Jesus Nowhere,235,2021-08-31 11:27:28+12
Queen,The Show Must Go On,251,2021-08-31 11:31:38+12
Alanis Morissette,All I Really Want,277,2021-08-31 11:35:47+12
Van Halen,You Really Got Me,155,2021-08-31 11:40:27+12
The Mint Chicks,Crazy? Yes! Dumb? No!,280,2021-08-31 11:48:23+12
