"rank","title","album","artist","albumYear","rankOneYearAgo","timestamp","albumArt"
"35","Highway To Hell","","AC/DC","","","2020-10-26 13:54:48","https://cdn.mediaworks.nz/radio/song/images/highway_to_hell_400_ac_dc.jpg?width=400&height=400&crop=auto"
"36","Cat People (Putting Out Fire)","","David Bowie","","","2020-10-26 13:48:17","https://cdn.mediaworks.nz/radio/song/images/cat_people_putting_out_fire__400_david_bowie.jpg?width=400&height=400&crop=auto"
"37","Hey You","","Pink Floyd","","","2020-10-26 13:41:46","https://cdn.mediaworks.nz/radio/song/images/hey_you_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"38","Over The Hills And Far Away","","Led Zeppelin","","","2020-10-26 13:35:15","https://cdn.mediaworks.nz/radio/song/images/over_the_hills_and_far_away_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"39","Brothers In Arms","","Dire Straits","","","2020-10-26 13:28:44","https://cdn.mediaworks.nz/radio/song/images/brothers_in_arms_400_dire_straits.jpg?width=400&height=400&crop=auto"
"40","Smoke On The Water","","Deep Purple","","","2020-10-26 13:22:13","https://cdn.mediaworks.nz/radio/song/images/smoke_on_the_water_400_deep_purple.jpg?width=400&height=400&crop=auto"
"41","Paranoid","","Black Sabbath","","","2020-10-26 13:15:42","https://cdn.mediaworks.nz/radio/song/images/paranoid_400_black_sabbath.jpg?width=400&height=400&crop=auto"
"42","You Can't Always Get What You Want","","Rolling Stones","","","2020-10-26 13:09:11","https://cdn.mediaworks.nz/radio/song/images/you_can_t_always_get_what_you_want_400_rolling_stones.jpg?width=400&height=400&crop=auto"
"43","Sweet Home Alabama","","Lynyrd Skynyrd","","","2020-10-26 13:02:40","https://cdn.mediaworks.nz/radio/song/images/sweet_home_alabama_400_lynyrd_skynyrd.jpg?width=400&height=400&crop=auto"
"44","Who Are You","","Who","","","2020-10-26 12:56:09","https://cdn.mediaworks.nz/radio/song/images/who_are_you_400_who.jpg?width=400&height=400&crop=auto"
"45","Take The Long Way Home","","Supertramp","","","2020-10-26 12:49:38","https://cdn.mediaworks.nz/radio/song/images/take_the_long_way_home_400_supertramp.jpg?width=400&height=400&crop=auto"
"46","Bliss","","Th' Dudes","","","2020-10-26 12:43:07","https://cdn.mediaworks.nz/radio/song/images/bliss_400_th_dudes.jpg?width=400&height=400&crop=auto"
"47","Skateaway","","Dire Straits","","","2020-10-26 12:36:36","https://cdn.mediaworks.nz/radio/song/images/skateaway_400_dire_straits.jpg?width=400&height=400&crop=auto"
"48","You Shook Me All Night Long","","AC/DC","","","2020-10-26 12:30:05","https://cdn.mediaworks.nz/radio/song/images/you_shook_me_all_night_long_400_ac_dc.jpg?width=400&height=400&crop=auto"
"49","Young Lust","","Pink Floyd","","","2020-10-26 12:23:34","https://cdn.mediaworks.nz/radio/song/images/young_lust_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"50","Imagine","","John Lennon","","","2020-10-26 12:17:03","https://cdn.mediaworks.nz/radio/song/images/imagine_400_john_lennon.jpg?width=400&height=400&crop=auto"
"51","Free Bird","","Lynyrd Skynyrd","","","2020-10-26 12:10:32","https://cdn.mediaworks.nz/radio/song/images/free_bird_400_lynyrd_skynyrd.jpg?width=400&height=400&crop=auto"
"52","Great Southern Land","","Icehouse","","","2020-10-26 12:04:54","https://cdn.mediaworks.nz/radio/song/images/great_southern_land_400_icehouse.jpg?width=400&height=400&crop=auto"
"53","Life On Mars","","David Bowie","","","2020-10-26 11:59:16","https://cdn.mediaworks.nz/radio/song/images/life_on_mars_400_david_bowie.jpg?width=400&height=400&crop=auto"
"54","Heartbreaker/Living Loving Maid","","Led Zeppelin","","","2020-10-26 11:53:38","https://cdn.mediaworks.nz/radio/song/images/heartbreaker_living_loving_maid_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"55","Psycho Killer","","Talking Heads","","","2020-10-26 11:48:00","https://cdn.mediaworks.nz/radio/song/images/psycho_killer_400_talking_heads.jpg?width=400&height=400&crop=auto"
